og	gos
COG0351	GO:0008152,GO:0009987,GO:0044237,GO:0016310,GO:0006796,GO:0006793,GO:0071704,GO:1901360,GO:0046483,GO:0006807,GO:0034641,GO:0006725,GO:0044249,GO:0009058,GO:1901576,GO:1901362,GO:0019438,GO:0018130,GO:0044271,GO:0006772,GO:1901564,GO:0072527,GO:0006790,GO:0044281,GO:0044710,GO:0006767,GO:0006766,GO:0042723,GO:1901566,GO:0044272,GO:0072528,GO:0044283,GO:0044711,GO:0042724,GO:0042364,GO:0009228,GO:0009110
COG0308	GO:0008152,GO:0071704,GO:0044238,GO:0006508,GO:0043170,GO:0019538,GO:0009987,GO:0044237,GO:0044710,GO:0006629,GO:0044255,GO:0009058,GO:1901576,GO:0044249,GO:0044281,GO:0044283,GO:0072330,GO:0006691,GO:0006690,GO:0044711,GO:0046394,GO:0006633,GO:0006631,GO:0006636,GO:0008610,GO:0043436,GO:1901568,GO:0016053,GO:0033559,GO:0046456,GO:0032787,GO:1901570,GO:0006082,GO:0019752,GO:0019370
COG0474	GO:0016020,GO:0044425,GO:0016021,GO:0031224,GO:0044464,GO:0005623
COG1187	GO:0008152,GO:1901360,GO:0046483,GO:0006807,GO:0044260,GO:0034641,GO:0006139,GO:0009987,GO:0006725,GO:0043170,GO:0071704,GO:0044238,GO:0044237,GO:0016070,GO:0090304,GO:0009451,GO:0043412,GO:0001522
COG3599	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG3557	NA
ENOG410XUB6	GO:0044464,GO:0005623,GO:0005622
COG0632	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0033202,GO:0043234,GO:0009379,GO:0032991,GO:0048476
COG2230	GO:0008152,GO:0044710,GO:0006629,GO:0071704,GO:0008610,GO:0044238,GO:1901576,GO:0009058,GO:0032259
COG0602	GO:0005737,GO:0044464,GO:0005623,GO:0044424,GO:0005622
ENOG410XNV7	GO:0005623,GO:0044464
COG3480	GO:0046434,GO:0009166,GO:0009167,GO:0009164,GO:0009161,GO:0046130,GO:1901360,GO:0009169,GO:0044710,GO:0009199,GO:0042454,GO:0009207,GO:0009205,GO:0009203,GO:0046034,GO:0046128,GO:0046483,GO:1901564,GO:1901565,GO:0019538,GO:0034641,GO:0006163,GO:0019637,GO:0019439,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0006807,GO:0006195,GO:1901575,GO:0006200,GO:1901361,GO:0044281,GO:0009158,GO:0009154,GO:0046700,GO:0009261,GO:0008152,GO:0034655,GO:0009150,GO:0044270,GO:1901292,GO:0006753,GO:0044248,GO:0009128,GO:0009123,GO:0009126,GO:0009259,GO:0009125,GO:0006139,GO:0042278,GO:0006508,GO:0009987,GO:0006725,GO:0055086,GO:1901136,GO:1901135,GO:0043170,GO:0019693,GO:0072521,GO:0072523,GO:0071704,GO:0006152,GO:0009117,GO:0009116,GO:0009119,GO:0009056,GO:0044238,GO:0044237,GO:1901657,GO:0006796,GO:0006793,GO:1901658
COG3605	GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424
COG3775	GO:0016020,GO:0016021,GO:0044425,GO:0031224
ENOG410XQK8	GO:0016020,GO:0044464,GO:0005623,GO:0071944,GO:0031975,GO:0019867,GO:0030312,GO:0030313,GO:0005886,GO:0009279,GO:0044462,GO:0016021,GO:0044425,GO:0031224
COG1145	GO:0008152,GO:0055114,GO:0044710
COG2893	GO:0016020,GO:0016021,GO:0044425,GO:0031224,GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424
COG4465	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG0095	GO:0044464,GO:0005623,GO:0005737,GO:0005622,GO:0044424
ENOG410XPX2	GO:0005737,GO:0044424,GO:0044464,GO:0005623,GO:0005622
COG1482	GO:0008152,GO:0071704,GO:0044238,GO:0005975,GO:0009987,GO:0044237,GO:0009058,GO:1901576,GO:0044249,GO:1901135,GO:0006796,GO:0006793,GO:1901137,GO:0044281,GO:0044710,GO:0019637,GO:0009298,GO:0009165,GO:1901362,GO:1901360,GO:0046483,GO:0019438,GO:0006807,GO:0009225,GO:0018130,GO:0090407,GO:0044271,GO:1901293,GO:0006753,GO:0019673,GO:0034641,GO:0006139,GO:0006725,GO:0055086,GO:0009226,GO:0009117,GO:0034654
COG0494	GO:0008152,GO:0009987,GO:0044237,GO:0071704,GO:0044238,GO:0006807,GO:0046483,GO:1901360,GO:0034641,GO:0006725,GO:0006139,GO:0044260,GO:0043170,GO:0090304,GO:0044699,GO:0044763,GO:0050896,GO:0006950,GO:0051716,GO:0006259,GO:0033554,GO:0006281,GO:0006974
COG0193	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG2876	GO:0009058,GO:0008152,GO:0019752,GO:0044281,GO:0044710,GO:0071704,GO:0009987,GO:0043436,GO:0006082,GO:0044237,GO:0044238,GO:0044249,GO:0006807,GO:0044283,GO:1901362,GO:1901360,GO:1901576,GO:0044711,GO:0006520,GO:0006725,GO:0009072,GO:0009073,GO:0008652,GO:1901564,GO:1901566,GO:0046394,GO:0016053,GO:0019438,GO:0043648,GO:0046417
COG0571	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG0702	GO:0008152
COG2371	GO:0005737,GO:0044424,GO:0044464,GO:0005623,GO:0005622
COG4862	GO:0032105,GO:0032102,GO:0022603,GO:0048585,GO:0043937,GO:0032104,GO:0042174,GO:0010648,GO:0042173,GO:0010646,GO:0045304,GO:0032101,GO:0050789,GO:0065007,GO:0048519,GO:0050793,GO:0048583,GO:0050794,GO:0043900,GO:0043939,GO:0051093,GO:0045596,GO:0045595,GO:0045808,GO:0048523,GO:0009991,GO:0030420,GO:0043934,GO:0071496,GO:0009292,GO:0009294,GO:0044699,GO:0051716,GO:0009653,GO:0048869,GO:0048646,GO:0032502,GO:0030154,GO:0009987,GO:0044767,GO:0030435,GO:0044764,GO:0044763,GO:0007154,GO:0051704,GO:0031668,GO:0009605,GO:0050896,GO:0048856
COG0033	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737,GO:0044444,GO:0043229,GO:0043226
COG3669	GO:0005975,GO:0008152,GO:0071704,GO:0044238,GO:0044723,GO:0019318,GO:0005996,GO:0006004,GO:0009987,GO:0044699,GO:0022610,GO:0007155,GO:0044763
COG3527	GO:0044710,GO:0019751,GO:0006066,GO:0071704,GO:0044281,GO:0008152,GO:1901615
COG0329	GO:0044464,GO:0005623,GO:0005737,GO:0005622,GO:0044424
COG0410	GO:0006200,GO:0009987,GO:0046434,GO:0009166,GO:0009167,GO:0044281,GO:0009161,GO:0046130,GO:1901360,GO:0009169,GO:0044710,GO:0009199,GO:0042454,GO:0009207,GO:0009205,GO:0009203,GO:0046034,GO:0046128,GO:0046483,GO:0009164,GO:1901564,GO:1901565,GO:0034641,GO:0006163,GO:0019637,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0006807,GO:0006195,GO:1901575,GO:1901361,GO:0009150,GO:0009154,GO:0009158,GO:0046700,GO:0009261,GO:0019439,GO:0008152,GO:0034655,GO:0044270,GO:1901292,GO:0006753,GO:0042278,GO:0044248,GO:0009128,GO:0009123,GO:0009126,GO:0009259,GO:0009125,GO:0006139,GO:0006725,GO:0055086,GO:1901136,GO:1901135,GO:0019693,GO:0072521,GO:0072523,GO:0071704,GO:0006152,GO:0006793,GO:0009117,GO:0009116,GO:0009119,GO:0009056,GO:0044238,GO:0044237,GO:1901657,GO:0006796,GO:1901658,GO:0006810,GO:0051234,GO:0051179
COG1126	GO:0006200,GO:0046434,GO:0009166,GO:0009167,GO:0044281,GO:0009161,GO:0046130,GO:1901360,GO:0009169,GO:0044710,GO:0009199,GO:0042454,GO:0009207,GO:0009205,GO:0009203,GO:0046034,GO:0046128,GO:0046483,GO:0009164,GO:1901564,GO:1901565,GO:0034641,GO:0006163,GO:0019637,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0006807,GO:0006195,GO:1901575,GO:1901361,GO:0009150,GO:0009154,GO:0009158,GO:0046700,GO:0009261,GO:0019439,GO:0008152,GO:0034655,GO:0044270,GO:1901292,GO:0006753,GO:0044248,GO:0009128,GO:0009123,GO:0009126,GO:0009259,GO:0009125,GO:0006139,GO:0042278,GO:0009987,GO:0006725,GO:0055086,GO:1901136,GO:1901135,GO:0019693,GO:0072521,GO:0072523,GO:0071704,GO:0006152,GO:0006793,GO:0009117,GO:0009116,GO:0009119,GO:0009056,GO:0044238,GO:0044237,GO:1901657,GO:0006796,GO:1901658,GO:0006810,GO:0051234,GO:0051179,GO:0044699,GO:0044765,GO:0006811,GO:0044763,GO:0055085,GO:0034220,GO:0006820,GO:0071702,GO:0015711
COG0174	GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG1702	GO:0005488,GO:1901363,GO:0097159,GO:0035639,GO:0000166,GO:1901265,GO:0001882,GO:0043168,GO:0043167,GO:0001883,GO:0032549,GO:0017076,GO:0005524,GO:0036094,GO:0030554,GO:0032559,GO:0032555,GO:0032550,GO:0032553,GO:0003676,GO:0003723
COG4810	GO:0006580,GO:0034641,GO:0006807,GO:0044281,GO:0044710,GO:0071704,GO:1901160,GO:0009308,GO:0009987,GO:0044106,GO:0042439,GO:0008152,GO:1901564,GO:0006576,GO:0044237,GO:0006066,GO:1901615
COG0580	GO:0016020,GO:0044425,GO:0016021,GO:0031224,GO:0044464,GO:0005623,GO:0071944,GO:0005886,GO:0044424,GO:0005622,GO:0005737,GO:0043226,GO:0043227,GO:0043229
COG0302	GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424
COG2837	GO:0008152,GO:0044710,GO:0055114
COG0745	GO:0035556,GO:0050789,GO:0065007,GO:0050794,GO:0019222,GO:0080090,GO:0031323,GO:0009889,GO:0051171,GO:0031326,GO:0019219,GO:2000112,GO:2001141,GO:0006355,GO:0051252,GO:0010556,GO:0060255,GO:0010468,GO:0009987,GO:0050896,GO:0044699,GO:0044763,GO:0051716,GO:0007154,GO:0007165,GO:0044700,GO:0023052,GO:0000160,GO:0008152,GO:0044237,GO:0071704,GO:0044238,GO:0043170,GO:0044260,GO:0006807,GO:0046483,GO:0034641,GO:1901360,GO:0006725,GO:0006139,GO:0044249,GO:0009058,GO:1901576,GO:0018130,GO:1901362,GO:0034654,GO:0044271,GO:0019438,GO:0090304,GO:0009059,GO:0034645,GO:0016070,GO:0006351,GO:0032774,GO:0010467
COG0059	GO:0009082,GO:0008152,GO:0044710,GO:0055114,GO:0009987,GO:0008652,GO:0019752,GO:0044249,GO:0006807,GO:0044281,GO:0044283,GO:1901576,GO:0044711,GO:0006520,GO:0071704,GO:0044238,GO:0009058,GO:0043436,GO:1901564,GO:1901566,GO:0006082,GO:0046394,GO:0016053,GO:0044237,GO:0009081,GO:0006549,GO:0009099,GO:0009097,GO:1901605,GO:1901607,GO:0006573
COG1484	GO:0008152
COG0639	GO:0044464,GO:0005623,GO:0044424,GO:0005622,GO:0005737,GO:0043229,GO:0043226,GO:0043231,GO:0043227,GO:0005634
COG1597	GO:0044464,GO:0005623,GO:0005622,GO:0005737,GO:0044424,GO:0016020
COG1846	GO:0044464,GO:0005623,GO:0005622
COG0177	GO:0006281,GO:0008152,GO:0009987,GO:0046483,GO:0006807,GO:0006139,GO:0034641,GO:0006725,GO:0044237,GO:1901360,GO:0071704,GO:0044238,GO:0043170,GO:0090304,GO:0044260,GO:0044699,GO:0006259,GO:0051716,GO:0033554,GO:0006950,GO:0050896,GO:0006974,GO:0044763,GO:0006284,GO:0090305
