peptide	countNS	countWS
GO:0009330	54	85
GO:0051345	72	113
GO:0008289	113	177
GO:0002189	76	119
GO:0043174	162	253
GO:0046416	42	66
GO:0004070	60	94
GO:0044205	130	203
GO:0061475	62	97
GO:0031640	35	55
GO:0001906	35	55
GO:0044179	35	55
GO:0051715	35	55
GO:0044364	35	55
GO:0016884	322	501
GO:0042311	68	106
GO:0035296	68	106
GO:0097746	68	106
GO:0097755	68	106
GO:0005623	311	481
GO:0016778	93	144
GO:0004749	82	127
GO:0044003	344	531
GO:0031667	412	634
GO:0043532	249	383
GO:0033365	145	223
GO:0072594	145	223
GO:0043624	108	166
GO:0006415	108	166
GO:0042026	839	1284
GO:0015238	41	63
GO:0072527	394	600
GO:0031234	34	52
GO:0006438	71	108
GO:0004832	71	108
GO:0032508	36	55
GO:0032392	36	55
GO:0050897	124	188
GO:0051701	712	1077
GO:0004151	56	85
GO:0044087	76	115
GO:0031966	313	472
GO:0043085	82	124
GO:0016860	328	494
GO:0006468	136	205
GO:1901607	1243	1868
GO:0002097	47	71
GO:0019835	37	56
GO:0006228	57	86
GO:0046051	57	86
GO:0016728	111	167
GO:0032879	762	1142
GO:0006220	366	548
GO:0008168	161	241
GO:0019860	76	114
GO:0006223	76	114
GO:0043100	76	114
GO:0046107	76	114
GO:0046383	52	78
GO:0019305	52	78
GO:0036293	285	425
GO:0005576	1572	2335
GO:0034620	444	659
GO:0006522	88	131
GO:0009078	88	131
GO:0016616	1224	1813
GO:0006213	325	481
GO:0006783	41	61
GO:0042168	41	61
GO:0002082	201	297
GO:1900542	201	297
GO:1903578	201	297
GO:0006140	201	297
GO:0003872	59	87
GO:0006354	55	81
GO:0019866	398	583
GO:0046131	325	476
GO:0072528	384	562
GO:0009220	324	474
GO:0046134	324	474
GO:0046132	324	474
GO:0070482	291	425
GO:0043891	399	581
GO:0046391	162	236
GO:0006015	162	236
GO:0009218	326	474
GO:1901292	2186	3170
GO:0006222	224	325
GO:0046049	224	325
GO:0009174	224	325
GO:0004333	102	148
GO:0042325	212	307
GO:0071229	127	184
GO:0009166	2181	3149
GO:0090066	78	113
GO:0006098	163	235
GO:0016614	1267	1821
GO:0009135	2089	3002
GO:0009179	2089	3002
GO:0008652	1406	2020
GO:0009173	226	325
GO:0006165	2102	3018
GO:0046939	2102	3018
GO:0019363	2135	3063
GO:0019359	2135	3063
GO:0034404	2808	4026
GO:0006757	2084	2983
GO:0042866	2084	2983
GO:0006096	2084	2983
GO:0046031	2085	2983
GO:0042651	385	551
GO:0034357	385	551
GO:0004175	449	642
GO:0047905	48	69
GO:0050193	48	69
GO:0046434	2315	3305
GO:0006241	109	156
GO:0046036	109	156
GO:0006221	362	517
GO:0009252	365	521
GO:0006024	365	521
GO:0006023	365	521
GO:0043094	353	503
GO:0043244	122	174
GO:0043101	156	222
GO:0045229	454	644
GO:0033817	114	162
GO:0006400	215	305
GO:0006733	2343	3316
GO:0046835	122	173
GO:0043934	489	692
GO:0009130	251	355
GO:0044429	621	876
GO:0032328	82	116
