id	gos
GO:0016757	GO:0016757
GO:0006084	GO:0006084
GO:0009380	GO:0009380
GO:0015891	GO:0015891
GO:0017004	GO:0017004
GO:0019358	GO:0019358
GO:0044205	GO:0044205
GO:0006260	GO:0006260
GO:0000287	GO:0000287
GO:0042254	GO:0042254
GO:0006168	GO:0006168
GO:0016853	GO:0016853
GO:0007059	GO:0007059
GO:0008360	GO:0008360
GO:0006089	GO:0006089
GO:0006213	GO:0006213
GO:0009904	GO:0009904
GO:0000272	GO:0000272
GO:0030286	GO:0030286
GO:0070069	GO:0070069
GO:0009037	GO:0009037
GO:0008734	GO:0008734
GO:0006098	GO:0006098
GO:0009252	GO:0009252
GO:0006354	GO:0006354
GO:0019305	GO:0019305
GO:0004739	GO:0004739
GO:0055114	GO:0055114
GO:0140080	GO:0140080
GO:0140078	GO:0140078
GO:0033748	GO:0033748
GO:0016620	GO:0016620
GO:0017111	GO:0017111
GO:0044210	GO:0044210
GO:0045454	GO:0045454
GO:0070981	GO:0070981
GO:0004071	GO:0004071
GO:0006090	GO:0006090
GO:0046656	GO:0046656
GO:0009086	GO:0009086
GO:0004427	GO:0004427
GO:0006526	GO:0006526
GO:0006662	GO:0006662
GO:0000453	GO:0000453
GO:2000184	GO:2000184
GO:1903456	GO:1903456
GO:2000839	GO:2000839
GO:2000872	GO:2000872
GO:0007131	GO:0007131
GO:0030529	GO:0030529
GO:0070469	GO:0070469
GO:0070677	GO:0070677
GO:0047727	GO:0047727
GO:0009372	GO:0009372
GO:0015078	GO:0015078
GO:0009405	GO:0009405
GO:0003918	GO:0003918
GO:0008270	GO:0008270
GO:0004641	GO:0004641
GO:0006429	GO:0006429
GO:0004823	GO:0004823
GO:0008764	GO:0008764
GO:0004615	GO:0004615
GO:0016791	GO:0016791
GO:0070402	GO:0070402
GO:0004326	GO:0004326
GO:0004181	GO:0004181
GO:0030488	GO:0030488
GO:0008747	GO:0008747
GO:0015093	GO:0015093
GO:0006397	GO:0006397
GO:0008831	GO:0008831
GO:0009297	GO:0009297
GO:0005096	GO:0005096
GO:0033608	GO:0033608
GO:0045261	GO:0045261
GO:0042853	GO:0042853
GO:0000286	GO:0000286
GO:0051015	GO:0051015
GO:0015986	GO:0015986
GO:0006353	GO:0006353
GO:0003922	GO:0003922
GO:0004525	GO:0004525
GO:0009381	GO:0009381
GO:0000027	GO:0000027
GO:0004586	GO:0004586
GO:0003899	GO:0003899
GO:0004674	GO:0004674
GO:0004970	GO:0004970
GO:0004019	GO:0004019
GO:0019379	GO:0019379
GO:0016301	GO:0016301
GO:0006269	GO:0006269
GO:0016491	GO:0016491
GO:0008237	GO:0008237
GO:0004523	GO:0004523
GO:0004825	GO:0004825
GO:0008460	GO:0008460
GO:0001123	GO:0001123
GO:0004134	GO:0004134
GO:0016836	GO:0016836
GO:0016407	GO:0016407
GO:0004643	GO:0004643
GO:0003937	GO:0003937
GO:0004731	GO:0004731
GO:0006433	GO:0006433
GO:0004827	GO:0004827
GO:0032265	GO:0032265
GO:0030604	GO:0030604
GO:0046933	GO:0046933
GO:0006431	GO:0006431
GO:0016810	GO:0016810
GO:0004332	GO:0004332
GO:0005215	GO:0005215
GO:0008966	GO:0008966
GO:0016990	GO:0016990
GO:0005524	GO:0005524
GO:0016868	GO:0016868
GO:0006511	GO:0006511
GO:0000150	GO:0000150
GO:0006289	GO:0006289
GO:0039694	GO:0039694
GO:0006422	GO:0006422
GO:0004815	GO:0004815
GO:0006308	GO:0006308
GO:0004750	GO:0004750
GO:0006419	GO:0006419
GO:0004813	GO:0004813
GO:0004070	GO:0004070
GO:0004471	GO:0004471
GO:0070180	GO:0070180
GO:0009295	GO:0009295
GO:0009435	GO:0009435
GO:0008959	GO:0008959
GO:0051287	GO:0051287
GO:0016020	GO:0016020
GO:0004639	GO:0004639
GO:0015035	GO:0015035
GO:0006351	GO:0006351
GO:0004834	GO:0004834
GO:0006432	GO:0006432
GO:0019547	GO:0019547
GO:0032549	GO:0032549
GO:0009228	GO:0009228
GO:0009360	GO:0009360
GO:0004314	GO:0004314
GO:0043023	GO:0043023
GO:0003700	GO:0003700
GO:0009165	GO:0009165
GO:0016887	GO:0016887
GO:0004252	GO:0004252
GO:0009116	GO:0009116
GO:0030261	GO:0030261
GO:0009245	GO:0009245
GO:0009408	GO:0009408
GO:0031071	GO:0031071
GO:0004180	GO:0004180
GO:0050511	GO:0050511
GO:0051991	GO:0051991
GO:0008765	GO:0008765
GO:0015821	GO:0015821
GO:0008253	GO:0008253
GO:0009396	GO:0009396
GO:0004842	GO:0004842
GO:0006189	GO:0006189
GO:0043335	GO:0043335
GO:0000724	GO:0000724
GO:0042242	GO:0042242
GO:0097056	GO:0097056
GO:0016260	GO:0016260
GO:0009060	GO:0009060
GO:0006564	GO:0006564
GO:0000723	GO:0000723
GO:0000139	GO:0000139
GO:0004617	GO:0004617
GO:0016755	GO:0016755
GO:0006741	GO:0006741
GO:0019674	GO:0019674
GO:0005730	GO:0005730
GO:0048029	GO:0048029
GO:0016024	GO:0016024
GO:0044781	GO:0044781
GO:0031119	GO:0031119
GO:0006206	GO:0006206
GO:0005938	GO:0005938
GO:0003841	GO:0003841
GO:0003724	GO:0003724
GO:0004828	GO:0004828
GO:0006172	GO:0006172
GO:0046033	GO:0046033
GO:0019569	GO:0019569
GO:0000502	GO:0000502
GO:0005727	GO:0005727
GO:0030272	GO:0030272
GO:0008174	GO:0008174
GO:0015591	GO:0015591
GO:0003994	GO:0003994
GO:0043140	GO:0043140
GO:0008733	GO:0008733
GO:0008897	GO:0008897
GO:0008201	GO:0008201
GO:0004619	GO:0004619
GO:0016787	GO:0016787
GO:0005975	GO:0005975
GO:0004514	GO:0004514
